name,store_id,월,화,수,목,금,토,일,영업구분
스테이터 강남본점,551867941,정기휴무 (매주 월요일),15:00,15:00,15:00,15:00,15:30,15:30,브레이크타임시작1
스테이터 강남본점,551867941,정기휴무 (매주 월요일),17:00,17:00,17:00,17:00,17:00,17:00,브레이크타임종료1
스테이터 강남본점,551867941,정기휴무 (매주 월요일),20:20,20:20,20:20,20:20,20:20,20:20,라스트오더
버닝스톤,1283139466,정기휴무 (매주 월요일),11:30,11:30,11:30,11:30,11:30,11:30,오픈
버닝스톤,1283139466,정기휴무 (매주 월요일),21:30,21:30,21:30,21:30,21:30,21:30,마감
버닝스톤,1283139466,정기휴무 (매주 월요일),14:30,14:30,14:30,14:30,14:30,14:30,브레이크타임시작1
버닝스톤,1283139466,정기휴무 (매주 월요일),17:00,17:00,17:00,17:00,17:00,17:00,브레이크타임종료1
버닝스톤,1283139466,정기휴무 (매주 월요일),13:30,13:30,13:30,13:30,13:30,13:30,라스트오더
헬로 브라질,1217686295,11:30,11:30,11:30,11:30,11:30,11:30,11:30,오픈
헬로 브라질,1217686295,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
헬로 브라질,1217686295,14:30,14:30,14:30,14:30,14:30,,,브레이크타임시작1
헬로 브라질,1217686295,17:00,17:00,17:00,17:00,17:00,,,브레이크타임종료1
헬로 브라질,1217686295,21:00,21:00,21:00,21:00,21:00,21:00,21:00,라스트오더
철판목장 강남역점,563173438,11:00,11:00,11:00,11:00,11:00,11:00,정기휴무 (매주 일요일),오픈
철판목장 강남역점,563173438,21:00,21:00,21:00,21:00,21:00,21:00,정기휴무 (매주 일요일),마감
철판목장 강남역점,563173438,15:00,15:00,15:00,15:00,15:00,15:00,정기휴무 (매주 일요일),브레이크타임시작1
철판목장 강남역점,563173438,17:00,17:00,17:00,17:00,17:00,17:00,정기휴무 (매주 일요일),브레이크타임종료1
철판목장 강남역점,563173438,20:00,20:00,20:00,20:00,20:00,20:00,정기휴무 (매주 일요일),라스트오더
스터번,38226262,11:30,11:30,11:30,11:30,11:30,11:30,정기휴무 (매주 일요일),오픈
스터번,38226262,22:00,22:00,22:00,22:00,22:00,22:00,정기휴무 (매주 일요일),마감
스터번,38226262,15:00,15:00,15:00,15:00,15:00,15:00,정기휴무 (매주 일요일),브레이크타임시작1
스터번,38226262,17:30,17:30,17:30,17:30,17:30,17:30,정기휴무 (매주 일요일),브레이크타임종료1
스터번,38226262,14:00,14:00,14:00,14:00,14:00,14:00,정기휴무 (매주 일요일),라스트오더
스터번,38226262,21:00,21:00,21:00,21:00,21:00,21:00,정기휴무 (매주 일요일),라스트오더2
구스아일랜드 브루하우스,505375149,11:30,11:30,11:30,11:30,11:30,11:30,11:30,오픈
구스아일랜드 브루하우스,505375149,24:00,24:00,24:00,24:00,24:00,24:00,23:00,마감
구스아일랜드 브루하우스,505375149,23:00,23:00,23:00,23:00,23:00,23:00,22:00,라스트오더
붓처스컷 삼성점,21705500,11:30,11:30,11:30,11:30,11:30,11:30,11:30,오픈
붓처스컷 삼성점,21705500,22:00,22:00,22:00,22:00,22:00,22:00,21:00,마감
붓처스컷 삼성점,21705500,15:00,15:00,15:00,15:00,15:00,,,브레이크타임시작1
붓처스컷 삼성점,21705500,17:00,17:00,17:00,17:00,17:00,,,브레이크타임종료1
후쿠오카함바그 롯데백화점 강남점,37721101,10:30,10:30,10:30,10:30,10:30,10:30,10:30,오픈
후쿠오카함바그 롯데백화점 강남점,37721101,20:00,20:00,20:00,20:00,20:00,20:30,20:30,마감
아이언쉐프,38495094,11:00,11:00,11:00,11:00,11:00,11:00,정기휴무 (매주 일요일),오픈
아이언쉐프,38495094,22:00,22:00,22:00,22:00,22:00,22:00,정기휴무 (매주 일요일),마감
아이언쉐프,38495094,15:00,15:00,15:00,15:00,15:00,15:00,정기휴무 (매주 일요일),브레이크타임시작1
아이언쉐프,38495094,17:30,17:30,17:30,17:30,17:30,17:30,정기휴무 (매주 일요일),브레이크타임종료1
헤비스테이크 강남역점,1850791145,11:00,11:00,11:00,11:00,11:00,11:00,11:00,오픈
헤비스테이크 강남역점,1850791145,21:00,21:00,21:00,21:00,21:00,21:00,21:00,마감
헤비스테이크 강남역점,1850791145,20:30,20:30,20:30,20:30,20:30,20:30,20:30,라스트오더
보이브라질 강남점,1185674107,11:30,11:30,11:30,11:30,11:30,11:30,11:30,오픈
보이브라질 강남점,1185674107,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
보이브라질 강남점,1185674107,14:30,14:30,14:30,14:30,14:30,,,브레이크타임시작1
보이브라질 강남점,1185674107,17:00,17:00,17:00,17:00,17:00,,,브레이크타임종료1
보이브라질 강남점,1185674107,21:55,21:55,21:55,21:55,21:55,21:55,21:55,라스트오더
로리스 더 프라임 립,33562781,11:30,11:30,11:30,11:30,11:30,11:30,11:30,오픈
로리스 더 프라임 립,33562781,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
로리스 더 프라임 립,33562781,15:00,15:00,15:00,15:00,15:00,15:00,15:00,브레이크타임시작1
로리스 더 프라임 립,33562781,17:30,17:30,17:30,17:30,17:30,17:30,17:30,브레이크타임종료1
로리스 더 프라임 립,33562781,20:50,20:50,20:50,20:50,20:50,20:50,20:50,라스트오더
스모크벙커,1104541194,11:30,11:30,11:30,11:30,11:30,12:00,정기휴무 (매주 일요일),오픈
스모크벙커,1104541194,22:00,22:00,22:00,22:00,22:00,22:00,정기휴무 (매주 일요일),마감
스모크벙커,1104541194,14:30,14:30,14:30,14:30,14:30,15:00,정기휴무 (매주 일요일),브레이크타임시작1
스모크벙커,1104541194,17:00,17:00,17:00,17:00,17:00,17:00,정기휴무 (매주 일요일),브레이크타임종료1
톨리브,20694177,11:30,11:30,11:30,11:30,11:30,11:30,정기휴무 (매주 일요일),오픈
톨리브,20694177,22:00,22:00,22:00,22:00,22:00,22:00,정기휴무 (매주 일요일),마감
톨리브,20694177,15:00,15:00,15:00,15:00,15:00,,정기휴무 (매주 일요일),브레이크타임시작1
톨리브,20694177,17:00,17:00,17:00,17:00,17:00,,정기휴무 (매주 일요일),브레이크타임종료1
고에몬 강남점,31413936,11:00,11:00,11:00,11:00,11:00,11:00,11:00,오픈
고에몬 강남점,31413936,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
