name,store_id,월,화,수,목,금,토,일,영업구분
보태닉마켓 딜리버리 강남직영점,1631533804,10:30,10:30,10:30,10:30,10:30,10:30,정기휴무 (매주 일요일),오픈
보태닉마켓 딜리버리 강남직영점,1631533804,19:30,19:30,19:30,19:30,19:30,19:30,정기휴무 (매주 일요일),마감
샐러딧 강남본점,1130747872,07:00,07:00,07:00,07:00,07:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
샐러딧 강남본점,1130747872,21:00,21:00,21:00,21:00,21:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
샐러딧 강남본점,1130747872,20:50,20:50,20:50,20:50,20:50,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
샐러디 학동역점,1454675173,08:00,08:00,08:00,08:00,08:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
샐러디 학동역점,1454675173,20:00,20:00,20:00,20:00,20:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
슬로우캘리 선릉점,1247164356,11:00,11:00,11:00,11:00,11:00,11:00,11:00,오픈
슬로우캘리 선릉점,1247164356,20:30,20:30,20:30,20:30,20:30,20:00,20:00,마감
슬로우캘리 선릉점,1247164356,15:00,15:00,15:00,15:00,15:00,,,브레이크타임시작1
슬로우캘리 선릉점,1247164356,17:00,17:00,17:00,17:00,17:00,,,브레이크타임종료1
슬로우캘리 삼성점,1328247627,10:30,10:30,10:30,10:30,10:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
슬로우캘리 삼성점,1328247627,20:30,20:30,20:30,20:30,20:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
슬로우캘리 삼성점,1328247627,14:30,14:30,14:30,14:30,14:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임시작1
슬로우캘리 삼성점,1328247627,17:00,17:00,17:00,17:00,17:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임종료1
슬로우캘리 삼성점,1328247627,20:00,20:00,20:00,20:00,20:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
샐러디 논현역점,1267786529,08:30,08:30,08:30,08:30,08:30,10:30,정기휴무 (매주 일요일),오픈
샐러디 논현역점,1267786529,20:30,20:30,20:30,20:30,20:30,19:00,정기휴무 (매주 일요일),마감
프레퍼스 다이어트 푸드 선릉직영점,1616976819,09:00,09:00,09:00,09:00,09:00,09:00,09:00,오픈
프레퍼스 다이어트 푸드 선릉직영점,1616976819,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
프레퍼스 다이어트 푸드 선릉직영점,1616976819,21:50,21:50,21:50,21:50,21:50,21:50,21:50,라스트오더
헬시플레저,1541253011,08:45,08:45,08:45,08:45,08:45,10:30,10:30,오픈
헬시플레저,1541253011,20:30,20:30,20:30,20:30,20:30,20:30,20:30,마감
헬시플레저,1541253011,14:00,14:00,14:00,14:00,14:00,13:00,13:00,브레이크타임시작1
헬시플레저,1541253011,17:30,17:30,17:30,17:30,17:30,17:30,17:30,브레이크타임종료1
헬시플레저,1541253011,20:10,20:10,20:10,20:10,20:10,20:10,20:10,라스트오더
베지야,1164528822,09:30,09:30,09:30,09:30,09:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
베지야,1164528822,19:30,19:30,19:30,19:30,19:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
베지야,1164528822,14:40,14:40,14:40,14:40,14:40,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임시작1
베지야,1164528822,15:50,15:50,15:50,15:50,15:50,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임종료1
베지야,1164528822,19:00,19:00,19:00,19:00,19:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
잇피티 역삼점,1771827830,11:00,11:00,11:00,11:00,11:00,11:00,정기휴무 (매주 일요일),오픈
잇피티 역삼점,1771827830,20:00,20:00,20:00,20:00,20:00,20:00,정기휴무 (매주 일요일),마감
잇피티 역삼점,1771827830,19:30,19:30,19:30,19:30,19:30,19:30,정기휴무 (매주 일요일),라스트오더
피그인더가든 선릉점,1277683404,08:00,08:00,08:00,08:00,08:00,10:00,정기휴무 (매주 일요일),오픈
피그인더가든 선릉점,1277683404,20:30,20:30,20:30,20:30,20:30,18:00,정기휴무 (매주 일요일),마감
피그인더가든 선릉점,1277683404,20:00,20:00,20:00,20:00,20:00,17:30,정기휴무 (매주 일요일),라스트오더
키친콤마 강남점,1845572424,08:00,08:00,08:00,08:00,08:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
키친콤마 강남점,1845572424,20:00,20:00,20:00,20:00,20:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
크리스틴 키친,1575861123,09:00,09:00,09:00,09:00,09:00,10:00,10:00,오픈
크리스틴 키친,1575861123,21:00,21:00,21:00,21:00,21:00,18:00,18:00,마감
어스샐러드,1538239846,10:00,10:00,10:00,10:00,10:00,10:00,정기휴무 (매주 일요일),오픈
어스샐러드,1538239846,20:00,20:00,20:00,20:00,20:00,20:00,정기휴무 (매주 일요일),마감
단비,1372828721,10:00,10:00,10:00,10:00,10:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
단비,1372828721,20:30,20:30,20:30,20:30,17:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
단비,1372828721,20:00,20:00,20:00,20:00,16:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
샐러링 선릉점,1031919205,09:00,09:00,09:00,09:00,09:00,11:00,11:00,오픈
샐러링 선릉점,1031919205,21:00,21:00,21:00,21:00,21:00,15:30,20:00,마감
샐러링 선릉점,1031919205,20:30,20:30,20:30,20:30,20:30,15:00,19:30,라스트오더
리본레시피 선릉점,1023853624,10:30,10:30,10:30,10:30,10:30,11:00,정기휴무 (매주 일요일),오픈
리본레시피 선릉점,1023853624,20:30,20:30,20:30,20:30,20:30,20:00,정기휴무 (매주 일요일),마감
리본레시피 선릉점,1023853624,15:00,15:00,15:00,15:00,15:00,,정기휴무 (매주 일요일),브레이크타임시작1
리본레시피 선릉점,1023853624,16:00,16:00,16:00,16:00,16:00,,정기휴무 (매주 일요일),브레이크타임종료1
리본레시피 선릉점,1023853624,20:20,20:20,20:20,20:20,20:20,19:50,정기휴무 (매주 일요일),라스트오더
샐러디 남부터미널역점,1865439977,07:40,07:40,07:40,07:40,07:40,09:20,09:20,오픈
샐러디 남부터미널역점,1865439977,21:00,21:00,21:00,21:00,21:00,20:00,20:00,마감
샐러디 남부터미널역점,1865439977,20:40,20:40,20:40,20:40,20:40,19:40,19:40,라스트오더
내여자를부탁해 선릉점,1059797455,11:30,11:30,11:30,11:30,11:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
내여자를부탁해 선릉점,1059797455,19:30,19:30,19:30,19:30,19:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
내여자를부탁해 선릉점,1059797455,19:20,19:20,19:20,19:20,19:20,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
그린벨,1092283909,10:00,10:00,10:00,10:00,10:00,10:00,정기휴무 (매주 일요일),오픈
그린벨,1092283909,20:30,20:30,20:30,20:30,20:30,16:00,정기휴무 (매주 일요일),마감
그린벨,1092283909,15:30,15:30,15:30,15:30,15:30,,정기휴무 (매주 일요일),브레이크타임시작1
그린벨,1092283909,16:30,16:30,16:30,16:30,16:30,,정기휴무 (매주 일요일),브레이크타임종료1
그린벨,1092283909,20:10,20:10,20:10,20:10,20:10,15:40,정기휴무 (매주 일요일),라스트오더
랄라보울 LALA BOWL,1678819751,09:00,09:00,09:00,09:00,09:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
랄라보울 LALA BOWL,1678819751,20:00,20:00,20:00,20:00,20:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
시티델리 도곡점,1468997269,07:30,07:30,07:30,07:30,07:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
시티델리 도곡점,1468997269,19:00,19:00,19:00,19:00,19:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
더감성,1681549502,08:30,08:30,08:30,08:30,08:30,10:30,10:30,오픈
더감성,1681549502,20:00,20:00,20:00,20:00,20:00,19:00,19:00,마감
더감성,1681549502,19:40,19:40,19:40,19:40,19:40,18:40,18:40,라스트오더
샐러디 언주아크로힐스점,1003296854,08:30,08:30,08:30,08:30,08:30,11:00,11:00,오픈
샐러디 언주아크로힐스점,1003296854,21:00,21:00,21:00,21:00,21:00,15:30,19:00,마감
샐러디 언주아크로힐스점,1003296854,20:30,20:30,20:30,20:30,20:30,15:00,18:30,라스트오더
보울레시피 강남선릉점,1186111779,08:00,08:00,08:00,08:00,08:00,10:00,10:00,오픈
보울레시피 강남선릉점,1186111779,21:00,21:00,21:00,21:00,21:00,21:00,21:00,마감
보울레시피 강남선릉점,1186111779,20:30,20:30,20:30,20:30,20:30,20:30,20:30,라스트오더
크리스피프레시 선릉점,1029747352,10:00,10:00,10:00,10:00,10:00,10:30,10:30,오픈
크리스피프레시 선릉점,1029747352,21:00,21:00,21:00,21:00,21:00,20:00,20:00,마감
크리스피프레시 선릉점,1029747352,20:00,20:00,20:00,20:00,20:00,19:00,19:00,라스트오더
짐키친 청담점,1194346028,10:30,10:30,11:30,10:30,10:30,11:30,11:30,오픈
짐키친 청담점,1194346028,21:20,21:20,18:00,21:20,21:20,18:00,18:00,마감
짐키친 청담점,1194346028,21:00,21:00,17:40,21:00,21:00,17:40,17:40,라스트오더
더짐샐러드,1255009268,10:30,정기휴무 (매주 화요일),정기휴무 (매주 수요일),정기휴무 (매주 목요일),정기휴무 (매주 금요일),정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
더짐샐러드,1255009268,10:35,정기휴무 (매주 화요일),정기휴무 (매주 수요일),정기휴무 (매주 목요일),정기휴무 (매주 금요일),정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
마치래빗 샐러드 강남역점,1593332476,09:30,09:30,09:30,09:30,09:30,10:30,10:30,오픈
마치래빗 샐러드 강남역점,1593332476,20:30,20:30,20:30,20:30,20:30,19:30,19:30,마감
마치래빗 샐러드 강남역점,1593332476,15:00,15:00,15:00,15:00,15:00,15:00,15:00,브레이크타임시작1
마치래빗 샐러드 강남역점,1593332476,16:00,16:00,16:00,16:00,16:00,16:00,16:00,브레이크타임종료1
마치래빗 샐러드 강남역점,1593332476,20:00,20:00,20:00,20:00,20:00,19:00,19:00,라스트오더
그린레시피,1666479590,10:00,10:00,10:00,10:00,10:00,11:00,11:00,오픈
그린레시피,1666479590,22:00,22:00,22:00,22:00,22:00,20:00,20:00,마감
그린레시피,1666479590,21:00,21:00,21:00,21:00,21:00,19:00,19:00,라스트오더
그린즈 샐러드&샌드위치,1328354680,07:00,07:00,07:00,07:00,07:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
그린즈 샐러드&샌드위치,1328354680,19:00,19:00,19:00,19:00,19:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
샐러디 역삼점,36690549,08:00,08:00,08:00,08:00,08:00,11:00,정기휴무 (매주 일요일),오픈
샐러디 역삼점,36690549,21:00,21:00,21:00,21:00,21:00,19:00,정기휴무 (매주 일요일),마감
샐러디 역삼점,36690549,20:30,20:30,20:30,20:30,20:30,18:30,정기휴무 (매주 일요일),라스트오더
크리스피프레시 파르나스몰점,1251751353,10:30,10:30,10:30,10:30,10:30,10:30,10:30,오픈
크리스피프레시 파르나스몰점,1251751353,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
크리스피프레시 파르나스몰점,1251751353,21:00,21:00,21:00,21:00,21:00,21:00,21:00,라스트오더
프레시크레딧 카페테리아 강남본점,1646355569,10:00,10:00,10:00,10:00,10:00,10:00,10:00,오픈
프레시크레딧 카페테리아 강남본점,1646355569,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
샐러리아 대치은마점,1469202340,08:00,08:00,08:00,08:00,08:00,09:00,정기휴무 (매주 일요일),오픈
샐러리아 대치은마점,1469202340,22:00,22:00,22:00,22:00,22:00,19:00,정기휴무 (매주 일요일),마감
샐러리아 대치은마점,1469202340,21:50,21:50,21:50,21:50,21:50,18:50,정기휴무 (매주 일요일),라스트오더
샐러디 신논현역점,1305574079,08:00,08:00,08:00,08:00,08:00,09:00,09:00,오픈
샐러디 신논현역점,1305574079,21:00,21:00,21:00,21:00,21:00,20:00,20:00,마감
프레시크레딧 강남파이낸스센터점,1061970778,07:00,07:00,07:00,07:00,07:00,07:00,정기휴무 (매주 일요일),오픈
프레시크레딧 강남파이낸스센터점,1061970778,22:00,22:00,22:00,22:00,22:00,20:00,정기휴무 (매주 일요일),마감
슬로우캘리 양재역점,1723414112,10:30,10:30,10:30,10:30,10:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
슬로우캘리 양재역점,1723414112,21:00,21:00,21:00,21:00,21:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
슬로우캘리 양재역점,1723414112,15:00,15:00,15:00,15:00,15:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임시작1
슬로우캘리 양재역점,1723414112,16:00,16:00,16:00,16:00,16:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임종료1
슬로우캘리 양재역점,1723414112,20:30,20:30,20:30,20:30,20:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
슈퍼런샐러드,1725002833,10:00,10:00,10:00,10:00,10:00,정기휴무 (매주 토요일),16:00,오픈
슈퍼런샐러드,1725002833,21:50,21:50,21:50,21:50,21:50,정기휴무 (매주 토요일),21:30,마감
슈퍼런샐러드,1725002833,15:00,15:00,15:00,15:00,15:00,정기휴무 (매주 토요일),,브레이크타임시작1
슈퍼런샐러드,1725002833,16:00,16:00,16:00,16:00,16:00,정기휴무 (매주 토요일),,브레이크타임종료1
슈퍼런샐러드,1725002833,21:30,21:30,21:30,21:30,21:30,정기휴무 (매주 토요일),21:10,라스트오더
샐러리아 강남점,1335534515,07:00,07:00,07:00,07:00,07:00,07:00,07:00,오픈
샐러리아 강남점,1335534515,23:00,23:00,23:00,23:00,23:00,23:00,23:00,마감
오샐러드 언주점,1146166956,09:00,09:00,09:00,09:00,09:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
오샐러드 언주점,1146166956,14:00,14:00,14:00,14:00,14:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
클로버포케 삼성본점,1578993904,10:00,10:00,10:00,10:00,10:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
클로버포케 삼성본점,1578993904,20:00,20:00,20:00,20:00,20:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
클로버포케 삼성본점,1578993904,15:00,15:00,15:00,15:00,15:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임시작1
클로버포케 삼성본점,1578993904,16:30,16:30,16:30,16:30,16:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임종료1
클로버포케 삼성본점,1578993904,19:55,19:55,19:55,19:55,19:55,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
부부 샐러드.샌드위치,1909764328,09:30,09:30,09:30,09:30,09:30,09:30,00:00,오픈
부부 샐러드.샌드위치,1909764328,22:30,22:30,22:30,22:30,22:30,20:00,00:10,마감
샐러디 대치점,1904488507,10:30,10:30,10:30,10:30,10:30,10:30,정기휴무 (매주 일요일),오픈
샐러디 대치점,1904488507,20:00,20:00,20:00,20:00,20:00,20:00,정기휴무 (매주 일요일),마감
샐러디 대치점,1904488507,14:30,14:30,14:30,14:30,14:30,,정기휴무 (매주 일요일),브레이크타임시작1
샐러디 대치점,1904488507,15:30,15:30,15:30,15:30,15:30,,정기휴무 (매주 일요일),브레이크타임종료1
샐러디 대치점,1904488507,14:15,14:15,14:15,14:15,14:15,19:45,정기휴무 (매주 일요일),라스트오더
샐러디 대치점,1904488507,19:45,19:45,19:45,19:45,19:45,,정기휴무 (매주 일요일),라스트오더2
샐러디 양재역점,1248467129,07:30,07:30,07:30,07:30,07:30,08:00,08:00,오픈
샐러디 양재역점,1248467129,21:00,21:00,21:00,21:00,21:00,15:00,15:00,마감
바디쉐프 역삼본점,33879189,07:00,07:00,07:00,07:00,07:00,11:00,정기휴무 (매주 일요일),오픈
바디쉐프 역삼본점,33879189,20:00,20:00,20:00,20:00,20:00,17:00,정기휴무 (매주 일요일),마감
바디쉐프 역삼본점,33879189,19:30,19:30,19:30,19:30,19:30,16:30,정기휴무 (매주 일요일),라스트오더
베스트 샐러드 선릉직영점,1844035009,08:00,08:00,08:00,08:00,08:00,10:00,10:00,오픈
베스트 샐러드 선릉직영점,1844035009,18:00,18:00,18:00,18:00,18:00,20:00,20:00,마감
SLB샐러드 교대점,1435162048,09:30,09:30,09:30,09:30,09:30,10:00,10:00,오픈
SLB샐러드 교대점,1435162048,20:30,20:30,20:30,20:30,20:30,15:00,15:00,마감
SLB샐러드 교대점,1435162048,14:30,14:30,14:30,14:30,14:30,,,브레이크타임시작1
SLB샐러드 교대점,1435162048,16:00,16:00,16:00,16:00,16:00,,,브레이크타임종료1
SLB샐러드 교대점,1435162048,20:10,20:10,20:10,20:10,20:10,14:40,14:40,라스트오더
에브리데이샐러드 강남1호점,1270128290,00:00,00:00,00:00,00:00,00:00,00:00,00:00,오픈
에브리데이샐러드 강남1호점,1270128290,24:00,24:00,24:00,24:00,24:00,24:00,24:00,마감
샐러디 역삼역점,1990209157,08:00,08:00,08:00,08:00,08:00,10:30,10:30,오픈
샐러디 역삼역점,1990209157,21:00,21:00,21:00,21:00,21:00,20:00,20:00,마감
샐러데이즈 강남역점,1509419898,10:00,10:00,10:00,10:00,10:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
샐러데이즈 강남역점,1509419898,20:00,20:00,20:00,20:00,20:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
샐러드몬스터,1988843211,07:30,07:30,07:30,07:30,07:30,09:30,09:30,오픈
샐러드몬스터,1988843211,20:30,20:30,20:30,20:30,20:30,20:30,20:30,마감
샐러드몬스터,1988843211,20:25,20:25,20:25,20:25,20:25,20:25,20:25,라스트오더
오케이포케 선릉,1370833645,11:00,11:00,11:00,11:00,11:00,11:00,정기휴무 (매주 일요일),오픈
오케이포케 선릉,1370833645,20:00,20:00,20:00,20:00,20:00,20:00,정기휴무 (매주 일요일),마감
슬로우캘리 논현점,1571112026,11:00,11:00,11:00,11:00,11:00,11:00,10:00,오픈
슬로우캘리 논현점,1571112026,22:00,22:00,22:00,22:00,22:00,18:00,22:00,마감
슬로우캘리 논현점,1571112026,21:40,21:40,21:40,21:40,21:40,17:40,21:40,라스트오더
훅트포케 양재점,1081786133,11:00,11:00,11:00,11:00,11:00,12:00,12:00,오픈
훅트포케 양재점,1081786133,21:00,21:00,21:00,21:00,21:00,20:30,20:30,마감
훅트포케 양재점,1081786133,14:30,14:30,14:30,14:30,14:30,14:30,14:30,브레이크타임시작1
훅트포케 양재점,1081786133,16:30,16:30,16:30,16:30,16:30,16:30,16:30,브레이크타임종료1
짐키친 강남점,1213433429,10:30,10:30,10:30,10:30,10:30,11:30,11:30,오픈
짐키친 강남점,1213433429,22:00,22:00,22:00,22:00,22:00,19:00,19:00,마감
짐키친 강남점,1213433429,21:10,21:10,21:10,21:10,21:10,18:10,18:10,라스트오더
슬로우앤로 2호점,1903569471,10:30,10:30,10:30,10:30,10:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
슬로우앤로 2호점,1903569471,19:30,19:30,19:30,19:30,19:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
슬로우앤로 2호점,1903569471,19:00,19:00,19:00,19:00,19:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
샐러드박스 뱅뱅사거리점,1657079453,08:30,08:30,08:30,08:30,08:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
샐러드박스 뱅뱅사거리점,1657079453,21:00,21:00,21:00,21:00,21:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
샐러드박스 뱅뱅사거리점,1657079453,14:00,14:00,14:00,14:00,14:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임시작1
샐러드박스 뱅뱅사거리점,1657079453,16:30,16:30,16:30,16:30,16:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임종료1
샐러드박스 뱅뱅사거리점,1657079453,20:40,20:40,20:40,20:40,20:40,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
식스밀 다이어트 역삼점,1110602732,10:00,10:00,10:00,10:00,10:00,10:00,정기휴무 (매주 일요일),오픈
식스밀 다이어트 역삼점,1110602732,20:00,20:00,20:00,20:00,20:00,20:00,정기휴무 (매주 일요일),마감
라이브볼,1716926393,10:00,10:00,10:00,10:00,10:00,,,오픈
라이브볼,1716926393,20:00,20:00,20:00,20:00,20:00,,,마감
도시주방 역삼점,1150259348,10:30,10:30,10:30,10:30,10:30,10:30,10:30,오픈
도시주방 역삼점,1150259348,20:30,20:30,20:30,20:30,20:30,20:00,20:00,마감
그린브로스샐러드 강남역점,1767065917,10:00,10:00,10:00,10:00,10:00,10:00,10:00,오픈
그린브로스샐러드 강남역점,1767065917,22:00,22:00,22:00,22:00,22:00,20:00,20:00,마감
그린브로스샐러드 강남역점,1767065917,14:30,14:30,14:30,14:30,14:30,14:30,14:30,브레이크타임시작1
그린브로스샐러드 강남역점,1767065917,17:00,17:00,17:00,17:00,17:00,16:00,16:00,브레이크타임종료1
그린브로스샐러드 강남역점,1767065917,21:30,21:30,21:30,21:30,21:30,19:30,19:30,라스트오더
스쿱,1972123158,07:40,07:40,07:40,07:40,07:40,10:00,정기휴무 (매주 일요일),오픈
스쿱,1972123158,21:00,21:00,21:00,21:00,21:00,15:00,정기휴무 (매주 일요일),마감
식단Lab,1037569194,11:00,11:00,11:00,11:00,11:00,11:00,정기휴무 (매주 일요일),오픈
식단Lab,1037569194,20:00,20:00,20:00,20:00,20:00,20:00,정기휴무 (매주 일요일),마감
식단Lab,1037569194,19:30,19:30,19:30,19:30,19:30,19:30,정기휴무 (매주 일요일),라스트오더
그리너 논현점,1759520368,10:00,10:00,10:00,10:00,10:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
그리너 논현점,1759520368,21:00,21:00,21:00,21:00,21:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
그리너 논현점,1759520368,14:00,14:00,14:00,14:00,14:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임시작1
그리너 논현점,1759520368,17:00,17:00,17:00,17:00,17:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임종료1
그리너 논현점,1759520368,20:30,20:30,20:30,20:30,20:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
샐러그릭 역삼점,1730160336,10:00,10:00,10:00,10:00,10:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
샐러그릭 역삼점,1730160336,21:30,21:30,21:30,21:30,21:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
샐러그릭 역삼점,1730160336,21:10,21:10,21:10,21:10,21:10,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
프로티너 신논현역점,1601063453,08:00,08:00,08:00,08:00,08:00,11:30,11:30,오픈
프로티너 신논현역점,1601063453,20:30,20:30,20:30,20:30,20:30,19:00,19:00,마감
알로하포케 신논현점,90462643,10:00,10:00,10:00,10:00,10:00,11:00,정기휴무 (매주 일요일),오픈
알로하포케 신논현점,90462643,21:00,21:00,21:00,21:00,21:00,20:00,정기휴무 (매주 일요일),마감
알로하포케 신논현점,90462643,20:30,20:30,20:30,20:30,20:30,19:30,정기휴무 (매주 일요일),라스트오더
슬로우캘리 교대점,1702073792,10:00,10:00,10:00,10:00,10:00,11:00,정기휴무 (매주 일요일),오픈
슬로우캘리 교대점,1702073792,21:00,21:00,21:00,21:00,21:00,17:00,정기휴무 (매주 일요일),마감
슬로우캘리 교대점,1702073792,20:30,20:30,20:30,20:30,20:30,16:30,정기휴무 (매주 일요일),라스트오더
신선담다 서초점,1204828294,10:40,10:40,10:40,10:40,10:40,10:40,10:40,오픈
신선담다 서초점,1204828294,20:00,20:00,20:00,20:00,20:00,20:00,20:00,마감
키친엑스 서초점,1950544351,10:40,10:40,10:40,10:40,10:40,11:00,11:00,오픈
키친엑스 서초점,1950544351,20:00,20:00,20:00,20:00,20:00,20:00,20:00,마감
착한부자 다이어트 도시락,1648858709,09:30,09:30,09:30,09:30,09:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
착한부자 다이어트 도시락,1648858709,16:00,16:00,16:00,16:00,16:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
라비센 샐러드,1540773167,10:00,10:00,10:00,10:00,10:00,10:00,정기휴무 (매주 일요일),오픈
라비센 샐러드,1540773167,20:00,20:00,20:00,20:00,20:00,18:00,정기휴무 (매주 일요일),마감
슬로우캘리 강남역점,1382699975,11:00,11:00,11:00,11:00,11:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
슬로우캘리 강남역점,1382699975,21:00,21:00,21:00,21:00,21:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
슬로우캘리 강남역점,1382699975,15:00,15:00,15:00,15:00,15:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임시작1
슬로우캘리 강남역점,1382699975,17:00,17:00,17:00,17:00,17:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임종료1
슬로우캘리 강남역점,1382699975,20:30,20:30,20:30,20:30,20:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
슬로우캘리 강남구청역점,1492384969,10:45,10:45,10:45,10:45,10:45,10:30,정기휴무 (매주 일요일),오픈
슬로우캘리 강남구청역점,1492384969,21:00,21:00,21:00,21:00,21:00,12:00,정기휴무 (매주 일요일),마감
슬로우캘리 강남구청역점,1492384969,15:00,15:00,15:00,15:00,15:00,,정기휴무 (매주 일요일),브레이크타임시작1
슬로우캘리 강남구청역점,1492384969,16:00,16:00,16:00,16:00,16:00,,정기휴무 (매주 일요일),브레이크타임종료1
슬로우캘리 강남구청역점,1492384969,20:30,20:30,20:30,20:30,20:30,11:30,정기휴무 (매주 일요일),라스트오더
컬러드,1536532022,08:00,08:00,08:00,08:00,08:00,11:00,정기휴무 (매주 일요일),오픈
컬러드,1536532022,20:00,20:00,20:00,20:00,20:00,18:00,정기휴무 (매주 일요일),마감
지지샐러드&포케,1729721401,10:40,10:40,10:40,10:40,10:40,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
지지샐러드&포케,1729721401,22:00,22:00,22:00,22:00,15:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
지지샐러드&포케,1729721401,15:00,15:00,15:00,15:00,,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임시작1
지지샐러드&포케,1729721401,17:00,17:00,17:00,17:00,,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임종료1
지지샐러드&포케,1729721401,21:30,21:30,21:30,21:30,14:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
지니스샐러드,1943497276,휴무,휴무,휴무,휴무,휴무,휴무,휴무,오픈
지니스샐러드,1943497276,휴무,휴무,휴무,휴무,휴무,휴무,휴무,마감
그린앤그릴,1238027126,10:00,10:00,10:00,10:00,10:00,11:00,정기휴무 (매주 일요일),오픈
그린앤그릴,1238027126,20:00,20:00,20:00,20:00,20:00,19:00,정기휴무 (매주 일요일),마감
