name,store_id,amenity
별양집,19872940,남/녀 화장실 구분
별양집,19872940,단체 이용 가능
별양집,19872940,유아의자
별양집,19872940,주차
별양집,19872940,발렛파킹
송가옥,358482498,예약
송가옥,358482498,단체 이용 가능
송가옥,358482498,무선 인터넷
송가옥,358482498,남/녀 화장실 구분
가우초곱창,1678162843,포장
가우초곱창,1678162843,예약
가우초곱창,1678162843,배달
가우초곱창,1678162843,단체 이용 가능
가우초곱창,1678162843,무선 인터넷
가우초곱창,1678162843,주차
대도파곱창 낙곱새,1603770691,단체 이용 가능
대도파곱창 낙곱새,1603770691,남/녀 화장실 구분
대도파곱창 낙곱새,1603770691,예약
대도파곱창 낙곱새,1603770691,주차
곰바위,11542958,예약
곰바위,11542958,주차
곰바위 본점,11540780,예약
곰바위 본점,11540780,단체 이용 가능
곰바위 본점,11540780,포장
곰바위 본점,11540780,무선 인터넷
곰바위 본점,11540780,남/녀 화장실 구분
곰바위 본점,11540780,배달
곰바위 본점,11540780,유아의자
곰바위 본점,11540780,주차
곰바위 본점,11540780,발렛파킹
소곱삼 강남 삼성역점,1882318470,단체 이용 가능
소곱삼 강남 삼성역점,1882318470,포장
소곱삼 강남 삼성역점,1882318470,예약
소곱삼 강남 삼성역점,1882318470,남/녀 화장실 구분
소곱삼 강남 삼성역점,1882318470,대기공간
소곱삼 강남 삼성역점,1882318470,배달
소곱삼 강남 삼성역점,1882318470,유아의자
소곱삼 강남 삼성역점,1882318470,주차
만득이곱창,584533223,단체 이용 가능
만득이곱창,584533223,포장
만득이곱창,584533223,배달
만득이곱창,584533223,무선 인터넷
만득이곱창,584533223,예약
세광양대창 삼성점,1072497442,단체 이용 가능
세광양대창 삼성점,1072497442,예약
세광양대창 삼성점,1072497442,포장
세광양대창 삼성점,1072497442,주차
세광양대창 삼성점,1072497442,발렛파킹
청계숲양대창,1880659013,단체 이용 가능
청계숲양대창,1880659013,예약
청계숲양대창,1880659013,남/녀 화장실 구분
청계숲양대창,1880659013,주차
육곱식당,1485917067,예약
육곱식당,1485917067,단체 이용 가능
육곱식당,1485917067,포장
육곱식당,1485917067,무선 인터넷
육곱식당,1485917067,남/녀 화장실 구분
육곱식당,1485917067,주차
부산양곱창,37718307,단체 이용 가능
부산양곱창,37718307,예약
부산양곱창,37718307,포장
부산양곱창,37718307,주차
부산양곱창,37718307,발렛파킹
아리양,20694410,단체 이용 가능
아리양,20694410,예약
아리양,20694410,남/녀 화장실 구분
아리양,20694410,무선 인터넷
아리양,20694410,포장
아리양,20694410,주차
아리양,20694410,발렛파킹
꿀때기곱창 선릉본점,1298360185,남/녀 화장실 구분
꿀때기곱창 선릉본점,1298360185,포장
꿀때기곱창 선릉본점,1298360185,배달
현대옥 코엑스점,33481180,예약
현대옥 코엑스점,33481180,주차
현대옥 코엑스점,33481180,무선 인터넷
현대옥 코엑스점,33481180,포장
현대옥 코엑스점,33481180,배달
담미온 삼성중앙역점,1980620771,단체 이용 가능
담미온 삼성중앙역점,1980620771,주차
담미온 삼성중앙역점,1980620771,무선 인터넷
담미온 삼성중앙역점,1980620771,포장
담미온 삼성중앙역점,1980620771,배달
담미온 삼성중앙역점,1980620771,남/녀 화장실 구분
보승회관 강남역직영점,1730224429,포장
보승회관 강남역직영점,1730224429,남/녀 화장실 구분
보승회관 교대직영점,1242946937,단체 이용 가능
보승회관 교대직영점,1242946937,포장
